ID apteki;Nazwa;Status;Numer zezwolenia;Data wydania zezwolenia;Data cofni_cia zezwolenia;Data wygaszenia zezwolenia;Data uprawomocnienia zezwolenia;Data uprawomocnienia cofni_cia/wygaszenia zezwolenia;Data nadania rygoru natychmiastowej wykonalno_ci dla cofni_cia zezwolenia;Sygnatura sprawy dla cofniecia/wygaszenia zezwolenia;Wojew—dztwo;Powiat;Gmina;Rodzaj ulicy;Ulica;Numer Budynku;Numer Lokalu;Miejscowo__;Kod pocztowy;Poczta;Simc;Terc;Ulic
1190225;DZIA_ FARMACJI SZPITALNEJ;aktywna;LU-A.8540.16.2012;2013-10-09;;;;;;;LUBELSKIE;pu_awski;Na__cz—w (miasto w gminie miejsko-wiejskiej);ul.;Kasztanowa;6;;Na__cz—w;;;956454;614084;8170
1190230;DZIA_ FARMACJI SZPITALNEJ;aktywna;LU-A.8540.18.2012;2013-02-05;;;;;;;LUBELSKIE;Lublin;Lublin (gmina miejska);ul.;Jana Hempla;5;;Lublin;;;954700;663011;6594
1190282;dzia_ farmacji szpitalnej;aktywna;LU-A.8540.7.2014;2014-11-07;;;;;;;LUBELSKIE;Lublin;Lublin (gmina miejska);ul.;L_dzian;49;;Lublin;;;954700;663011;11009
1190447;DZIA_ FARMACJI SZPITALNEJ;aktywna;LU-A.8540.3.2012;2014-07-09;;;;;;;LUBELSKIE;radzy_ski;Radzy_ Podlaski (gmina wiejska);;35;;;Ustrzesz;;;18135;615062;
1190452;DZIA_ FARMACJI SZPITALNEJ;aktywna;BEZ ZGODY;1900-01-01;;;;;;;LUBELSKIE;tomaszowski;Tomasz—w Lubelski (gmina miejska);ul.;Melchiora Wa_kowicza;8;;Tomasz—w Lubelski;;;988075;618011;23620
1190460;DZIA_ FARMACJI SZPITALNEJ;aktywna;BEZ ZGODY;1900-01-01;;;;;;;LUBELSKIE;Zamo__;Zamo__ (gmina miejska);al.;Aleje Jana Paw_a II;8;;Zamo__;;;987510;664011;35344
1190471;DZIA_ FARMACJI SZPITALNEJ;aktywna;LU-A.8540.3.2013;2013-02-07;;;;;;;LUBELSKIE;Zamo__;Zamo__ (gmina miejska);al.;Aleje Jana Paw_a II;19;;Zamo__;;;987510;664011;35344
1197059;DZIA_ FARMACJI SZPITALNEJ;aktywna;F_;2000-01-01;;;2000-01-01;;;;_îDZKIE;sieradzki;Sieradz (gmina miejska);;kol;1;;Sieradz;98-200;;976050;1014011;
1206630;Dzia_ farmacji szpitalnej;aktywna;;;;;;;;;DOLNO_L_SKIE;k_odzki;L_dek-Zdr—j (miasto w gminie miejsko-wiejskiej);pl.;Maria_ski;7/8;;L_dek-Zdr—j;57-540;L_dek-Zdr—j;984203;208084;12337
1207325;DZIA_ FARMACJI SZPITALNEJ;aktywna;LU-A.8540.3.2015;2015-03-31;;;2015-04-15;;;;LUBELSKIE;Lublin;Lublin (gmina miejska);ul.;Kazimierza Jaczewskiego;2;;Lublin;;;954700;663011;7005
1030789;Dy_urna 2;aktywna;335/2005;2005-10-05;;;2005-10-05;;;;pomorskie;Gdynia;;ul.;Abrahama;70;;Gdynia;81-353;;;;
1040051;DY_URNA 2;aktywna;WIF.OL-4020-30/06;2006-09-26;;;2006-09-26;;;;warmi_sko-mazurskie;Elbl_g;Elbl_g;ul.;Gwiezdna;23;;ELBL_G;82-300;;932703;2861011;6424
